Geometries_ID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category 
35025000200,Lea,Hobbs So.,0.24,4,48,3812,0.0126,3
35005000800,Chaves,Roswell N.W.,0.16,3,71,5686,0.0125,3
35013001804,Dona Ana,Anthony Berino Chaparral,0.37,5,90,7256,0.0124,3
35031943901,Mckinley,SW,0.36,5,60,4849,0.0124,3
35001000708,Bernalillo,Central Tabo,0.25,4,76,6247,0.0122,3
35061971100,Valencia,SE,0.3,4,19,1575,0.0121,3
35029000300,Luna,,0.28,4,28,2327,0.012,3
35049001205,Santa Fe,Airport Road,0.17,3,68,5652,0.012,3
35006946100,Cibola,,0.27,4,49,4086,0.012,3
35001000501,Bernalillo,Lomas San Mateo,0.32,5,31,2613,0.0119,3
35025000702,Lea,,0.12,3,41,3490,0.0117,3
35001940600,Bernalillo,Southwest,0.15,3,120,10290,0.0117,3
35027960400,Lincoln,,0.18,3,77,6603,0.0117,3
35025001100,Lea,,0.14,3,57,4893,0.0116,3
35009000603,Roosevelt/Curry,,0.22,4,49,4223,0.0116,3
35057963600,Torrance,,0.29,4,76,6587,0.0115,3
35001004401,Bernalillo,Arenal Tapia,0.31,5,37,3236,0.0114,3
35029000200,Luna,,0.28,4,48,4240,0.0113,3
35045000707,San Juan,Northeast/Bloomfield,0.12,3,48,4261,0.0113,3
35001000707,Bernalillo,Central Tabo,0.32,5,71,6326,0.0112,3
35009000303,Curry,Clovis East,0.16,3,41,3656,0.0112,3
35001000901,Bernalillo,Central Penn,0.52,6,87,7787,0.0112,3
35001001200,Bernalillo,Gibson University,0.3,5,82,7414,0.0111,3
35041000100,Roosevelt,"Roosevelt County/Curry County, Other",0.3,5,51,4630,0.011,3
35001004712,Bernalillo,So. Ninetyeight,0.2,4,81,7425,0.0109,3
35045943300,San Juan,Farmington West/Kirtland/La Plata,0.23,4,24,2204,0.0109,3
35001002402,Bernalillo,Central Coors,0.37,5,91,8479,0.0107,3
35001002100,Bernalillo,Lomas Broadway,0.39,5,20,1864,0.0107,3
35001004740,Bernalillo,So. Ninetyeight,0.18,3,81,7574,0.0107,3
35049000400,Santa Fe,Agua Fria Neighborhood & Downtown,0.08,2,3,282,0.0106,3
35001004743,Bernalillo,No. Ninetyeight,0.06,2,34,3200,0.0106,3
35031940500,Mckinley,SW,0.54,6,15,1414,0.0106,3
35049001203,Santa Fe,Agua Fria Village,0.19,3,32,3031,0.0106,3
35045000705,San Juan,Northeast/Bloomfield,0.27,4,40,3790,0.0106,3
35005000400,Chaves,Roswell S.E.,0.24,4,49,4721,0.0104,3
35013000202,Dona Ana,Northwest Las Cruces,0.22,4,64,6198,0.0103,3
35061970101,Valencia,NE,0.38,5,49,4755,0.0103,3
35015000402,Eddy,Carlsbad,0.26,4,50,4876,0.0103,3
35031944000,McKinley,Other,0.41,6,22,2158,0.0102,3
35025000504,Lea,Hobbs No.,0.05,1,40,3956,0.0101,3
35025001005,Lea,,0.25,4,39,3875,0.0101,3
35001004733,Bernalillo,Arenal Unser,0.25,4,75,7475,0.01,3
35025000900,Lea,,0.16,3,24,2403,0.01,3
35005000500,Chaves,Roswell S.E.,0.3,5,20,2023,0.0099,3
35006974202,Cibola,,0.21,4,29,2949,0.0098,3
35045000608,San Juan,North/Aztec,0.16,3,60,6107,0.0098,3
35006941500,Cibola,,0.22,4,29,2991,0.0097,3
